,HexSSP-0,HexSSP-1,HexSSP-2,HexSSP-3,HexSSP-4,HexSSP-5,HexSSP-6,HexSSP-7,HexSSP-8,HexSSP-9,HexSSP-10,HexSSP-11,HexSSP-12,HexSSP-13,HexSSP-14,HexSSP-15,HexSSP-16,HexSSP-17,HexSSP-18,HexSSP-19,Discrete_19-0,Discrete_19-1,Discrete_19-2,Discrete_19-3,Discrete_19-4,Discrete_19-5,Discrete_19-6,Discrete_19-7,Discrete_19-8,Discrete_19-9,Discrete_15-0,Discrete_15-1,Discrete_15-2,Discrete_15-3,Discrete_15-4,Discrete_15-5,Discrete_15-6,Discrete_15-7,Discrete_15-8,Discrete_15-9,Discrete_11-0,Discrete_11-1,Discrete_11-2,Discrete_11-3,Discrete_11-4,Discrete_11-5,Discrete_11-6,Discrete_11-7,Discrete_11-8,Discrete_11-9,Discrete_07-0,Discrete_07-1,Discrete_07-2,Discrete_07-3,Discrete_07-4,Discrete_07-5,Discrete_07-6,Discrete_07-7,Discrete_07-8,Discrete_07-9,Discrete_03-0,Discrete_03-1,Discrete_03-2,Discrete_03-3,Discrete_03-4,Discrete_03-5,Discrete_03-6,Discrete_03-7,Discrete_03-8,Discrete_03-9
548,376.0,500.0,294.0,500.0,217.0,500.0,500.0,216.0,500.0,500.0,325.0,492.0,500.0,500.0,88.0,500.0,480.0,500.0,219.0,500.0,106.0,86.0,24.0,93.0,22.0,130.0,130.0,15.0,98.0,31.0,114.0,67.0,100.0,13.0,70.0,16.0,47.0,14.0,15.0,24.0,16.0,43.0,20.0,13.0,13.0,19.0,27.0,15.0,14.0,17.0,47.0,120.0,9.0,12.0,38.0,11.0,13.0,51.0,10.0,12.0,14.0,16.0,11.0,11.0,11.0,8.0,12.0,12.0,10.0,12.0
549,489.0,500.0,304.0,500.0,182.0,325.0,500.0,500.0,500.0,391.0,500.0,500.0,500.0,500.0,349.0,500.0,500.0,500.0,248.0,500.0,116.0,20.0,24.0,85.0,46.0,90.0,108.0,44.0,20.0,25.0,100.0,103.0,85.0,17.0,59.0,16.0,29.0,16.0,24.0,19.0,16.0,40.0,120.0,14.0,15.0,23.0,66.0,18.0,14.0,34.0,10.0,10.0,10.0,11.0,13.0,36.0,10.0,14.0,12.0,16.0,16.0,10.0,10.0,11.0,11.0,16.0,14.0,11.0,9.0,9.0
550,239.0,500.0,334.0,500.0,175.0,328.0,500.0,500.0,500.0,422.0,322.0,500.0,500.0,500.0,241.0,500.0,288.0,500.0,177.0,500.0,191.0,78.0,18.0,104.0,246.0,96.0,59.0,43.0,87.0,31.0,74.0,56.0,23.0,13.0,49.0,23.0,58.0,13.0,11.0,16.0,15.0,11.0,100.0,14.0,12.0,13.0,21.0,49.0,12.0,13.0,10.0,15.0,10.0,11.0,10.0,17.0,11.0,64.0,11.0,13.0,16.0,9.0,13.0,10.0,9.0,10.0,10.0,13.0,13.0,10.0
551,467.0,500.0,413.0,500.0,218.0,383.0,500.0,500.0,500.0,466.0,500.0,468.0,500.0,500.0,299.0,500.0,500.0,500.0,138.0,282.0,96.0,125.0,21.0,78.0,119.0,54.0,103.0,47.0,77.0,26.0,73.0,107.0,80.0,18.0,64.0,17.0,35.0,14.0,13.0,37.0,14.0,55.0,16.0,17.0,14.0,15.0,50.0,13.0,12.0,62.0,22.0,80.0,11.0,10.0,50.0,36.0,15.0,40.0,11.0,10.0,10.0,9.0,10.0,18.0,18.0,13.0,13.0,14.0,10.0,14.0
552,237.0,500.0,304.0,500.0,141.0,401.0,500.0,500.0,445.0,413.0,494.0,449.0,500.0,500.0,444.0,500.0,441.0,500.0,281.0,500.0,115.0,50.0,19.0,17.0,177.0,120.0,60.0,41.0,79.0,15.0,76.0,29.0,115.0,17.0,49.0,20.0,37.0,16.0,30.0,15.0,14.0,11.0,11.0,18.0,14.0,11.0,12.0,16.0,14.0,36.0,112.0,12.0,13.0,14.0,51.0,48.0,13.0,12.0,11.0,13.0,22.0,11.0,9.0,14.0,15.0,14.0,18.0,13.0,8.0,12.0
553,234.0,500.0,319.0,500.0,272.0,232.0,374.0,500.0,423.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,164.0,500.0,115.0,124.0,21.0,23.0,158.0,99.0,56.0,53.0,88.0,30.0,92.0,83.0,98.0,14.0,13.0,16.0,11.0,17.0,12.0,42.0,16.0,14.0,21.0,19.0,14.0,17.0,12.0,14.0,12.0,14.0,35.0,14.0,10.0,11.0,41.0,23.0,17.0,11.0,15.0,13.0,10.0,12.0,10.0,12.0,10.0,13.0,12.0,14.0,10.0,13.0
554,199.0,500.0,335.0,500.0,279.0,318.0,500.0,500.0,500.0,448.0,500.0,500.0,500.0,500.0,417.0,500.0,500.0,500.0,237.0,500.0,146.0,107.0,22.0,31.0,128.0,110.0,104.0,59.0,14.0,26.0,145.0,144.0,90.0,17.0,49.0,22.0,33.0,18.0,10.0,15.0,11.0,40.0,65.0,23.0,15.0,16.0,30.0,18.0,28.0,15.0,20.0,30.0,17.0,11.0,67.0,13.0,11.0,11.0,12.0,12.0,13.0,10.0,9.0,12.0,23.0,10.0,9.0,12.0,17.0,9.0
555,190.0,500.0,345.0,500.0,251.0,302.0,448.0,500.0,500.0,500.0,329.0,500.0,500.0,500.0,336.0,500.0,352.0,448.0,214.0,500.0,94.0,108.0,21.0,48.0,172.0,101.0,125.0,16.0,79.0,20.0,116.0,61.0,56.0,19.0,47.0,16.0,19.0,15.0,39.0,22.0,27.0,35.0,78.0,14.0,16.0,12.0,13.0,27.0,12.0,15.0,59.0,9.0,11.0,14.0,13.0,15.0,10.0,72.0,10.0,12.0,12.0,14.0,15.0,16.0,14.0,15.0,13.0,10.0,10.0,18.0
556,243.0,500.0,298.0,500.0,231.0,316.0,450.0,448.0,500.0,500.0,500.0,500.0,500.0,500.0,373.0,500.0,500.0,500.0,262.0,500.0,113.0,61.0,26.0,18.0,138.0,96.0,112.0,19.0,72.0,38.0,12.0,55.0,14.0,17.0,56.0,22.0,40.0,18.0,16.0,20.0,12.0,33.0,42.0,14.0,13.0,12.0,16.0,11.0,15.0,69.0,109.0,69.0,12.0,10.0,34.0,39.0,9.0,22.0,11.0,12.0,18.0,20.0,15.0,14.0,14.0,15.0,13.0,13.0,13.0,11.0
557,152.0,500.0,385.0,500.0,500.0,354.0,500.0,500.0,500.0,488.0,279.0,500.0,500.0,500.0,500.0,500.0,255.0,500.0,234.0,500.0,133.0,111.0,20.0,26.0,149.0,99.0,133.0,51.0,84.0,17.0,40.0,21.0,67.0,18.0,18.0,18.0,34.0,19.0,15.0,29.0,15.0,58.0,84.0,21.0,18.0,15.0,49.0,23.0,13.0,19.0,75.0,112.0,13.0,10.0,162.0,84.0,10.0,43.0,13.0,12.0,14.0,19.0,11.0,12.0,10.0,11.0,17.0,19.0,10.0,37.0
